date,path,cluster,tsne_x,tsne_y
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0000.jpg,1,14.655564,-11.907435
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0001.jpg,1,13.9233675,-12.391771
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0002.jpg,1,14.351633,-12.554221
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0003.jpg,1,14.856594,-13.17168
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0004.jpg,1,14.9585285,-13.252849
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0005.jpg,1,15.022299,-13.377004
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0006.jpg,1,15.149424,-13.415885
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0007.jpg,1,14.278839,-17.41581
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0008.jpg,1,14.414493,-17.355333
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0009.jpg,1,12.166314,-21.521275
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0010.jpg,1,12.187497,-21.468904
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0011.jpg,1,13.944272,-18.902615
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0012.jpg,1,13.86716,-18.897232
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0013.jpg,1,12.94515,-19.062284
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0014.jpg,1,12.743074,-19.08676
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0015.jpg,1,13.05161,-19.606115
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0016.jpg,1,13.170959,-19.751692
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0017.jpg,1,22.175825,-19.722162
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0018.jpg,1,22.17227,-19.723392
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0019.jpg,1,10.389705,-19.484224
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0020.jpg,1,10.462941,-19.5742
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0021.jpg,1,9.255841,-8.170114
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0022.jpg,1,9.240015,-8.569104
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0023.jpg,1,12.804541,-14.307523
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0024.jpg,1,9.402038,-8.929524
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0025.jpg,1,11.426828,-14.79297
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0026.jpg,1,13.7166,-17.918442
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0027.jpg,1,11.029803,-16.666348
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0028.jpg,1,10.777257,-15.955586
20200528,C:\junha\Datasets\LTDv2\frames\frames\20200528\clip_0_0000\image_0029.jpg,1,10.480633,-9.574957
