date,path,cluster,tsne_x,tsne_y
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0000.jpg,0,-8.010836,-28.914627
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0001.jpg,0,-8.824611,-28.767075
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0002.jpg,0,-9.0110445,-28.90036
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0003.jpg,0,-9.114874,-28.865305
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0004.jpg,0,-7.757097,-29.060915
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0005.jpg,0,-7.189384,-29.117218
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0006.jpg,0,-6.4361873,-28.325663
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0007.jpg,0,-6.8999147,-28.112503
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0008.jpg,0,-5.5841904,-33.176197
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0009.jpg,0,-9.381811,-35.641144
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0010.jpg,0,-6.4945087,-32.753227
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0011.jpg,0,-6.677385,-32.99977
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0012.jpg,0,-6.226222,-28.71806
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0013.jpg,0,-6.348936,-28.479351
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0014.jpg,0,-5.680477,-29.592878
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0015.jpg,0,-5.82504,-29.644276
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0016.jpg,0,-6.074335,-28.850101
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0017.jpg,0,-6.1542315,-28.739964
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0018.jpg,0,0.7423339,-31.697042
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0019.jpg,0,-5.8775887,-31.661106
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0020.jpg,0,-5.2994375,-31.491962
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0021.jpg,0,-5.4589925,-31.368204
20200529,C:\junha\Datasets\LTDv2\frames\frames\20200529\clip_0_0000\image_0022.jpg,0,2.3670413,-34.9315
